Source,Valid,URL,ImagesURL,ImagesNumber,FirstImageNumber
Vamizi,yes,https://coralnet.ucsd.edu/source/3063/,https://coralnet.ucsd.edu/source/3063/browse/images/,1537,2522108
USSGuardianWreck,yes,https://coralnet.ucsd.edu/source/155/,https://coralnet.ucsd.edu/source/155/browse/images/,990,69089
Valentina Rocha,yes,https://coralnet.ucsd.edu/source/3402/,https://coralnet.ucsd.edu/source/3402/browse/images/,600,2664713
WAPA Coral Inventory 2.0,yes,https://coralnet.ucsd.edu/source/3361/,https://coralnet.ucsd.edu/source/3361/browse/images/,3037,2597151
WAPA Interns,yes,https://coralnet.ucsd.edu/source/2744/,https://coralnet.ucsd.edu/source/2744/browse/images/,2199,2175293
WAPA RFI,yes,https://coralnet.ucsd.edu/source/3577/,https://coralnet.ucsd.edu/source/3577/browse/images/,3734,3370103
WAPA RFM,yes,https://coralnet.ucsd.edu/source/2112/,https://coralnet.ucsd.edu/source/2112/browse/images/,4649,1826336
Windward,yes,https://coralnet.ucsd.edu/source/3415/,https://coralnet.ucsd.edu/source/3415/browse/images/,3242,2694962
WSU West Hawaii,yes,https://coralnet.ucsd.edu/source/109/,https://coralnet.ucsd.edu/source/109/browse/images/,3970,45984
ZONE 3 new,yes,https://coralnet.ucsd.edu/source/3366/,https://coralnet.ucsd.edu/source/3366/browse/images/,505,2588474
2Maldives_2Katie,yes,https://coralnet.ucsd.edu/source/3551/,https://coralnet.ucsd.edu/source/3551/browse/images/,7202,2978687
Antigua_weird,yes,https://coralnet.ucsd.edu/source/3412/,https://coralnet.ucsd.edu/source/3412/browse/images/,1706,2691054
BIO403 Green Group,yes,https://coralnet.ucsd.edu/source/3396/,https://coralnet.ucsd.edu/source/3396/browse/images/,804,2633994
BTS_DEF,yes,https://coralnet.ucsd.edu/source/4148/,https://coralnet.ucsd.edu/source/4148/browse/images/,10730,3507280
Capstone 2023,yes,https://coralnet.ucsd.edu/source/3704/,https://coralnet.ucsd.edu/source/3704/browse/images/,939,3295194
carib,yes,https://coralnet.ucsd.edu/source/3363/,https://coralnet.ucsd.edu/source/3363/browse/images/,16498,2676739
carib_bitbybit,yes,https://coralnet.ucsd.edu/source/3446/,https://coralnet.ucsd.edu/source/3446/browse/images/,8860,2757199
Caribbean bitbybit 2,yes,https://coralnet.ucsd.edu/source/3465/,https://coralnet.ucsd.edu/source/3465/browse/images/,14092,2797159
